260;8;POHeavyRush;LightDefenseRangedDefenseEMRDeterministico
260;8;POLightRush;POHeavyRushLightDefenseRangedDefenseWorkerDefense
120;8;EconomyRush;POWorkerRushPORangedRush
410;8;POWorkerRush;LightDefenseWorkerDefenseHeavyDefense
246.491;8;POWorkerRush;POWorkerRushPOLightRushWorkerDefense
386.491;8;POHeavyRush;POHeavyRushPORangedRushLightDefenseHeavyDefenseEMRDeterministico
160;8;EconomyRush;POWorkerRushRangedDefenseWorkerDefenseEMRDeterministico
260;8;POLightRush;POWorkerRushPOHeavyRushPORangedRushRangedDefenseHeavyDefense
620;8;POWorkerRush;POLightRushPORangedRushLightDefenseHeavyDefenseEMRDeterministico
290;8;POHeavyRush;POWorkerRushPORangedRushRangedDefenseWorkerDefenseHeavyDefense
690;8;EconomyRush;PORangedRushWorkerDefenseHeavyDefense
900;8;POLightRush;POLightRushPOHeavyRushPORangedRushLightDefenseRangedDefense
170;8;POLightRush;LightDefenseRangedDefenseWorkerDefenseHeavyDefenseEMRDeterministico
376.491;8;POWorkerRush;WorkerDefenseHeavyDefense
-180;8;PORangedRush;POHeavyRushLightDefenseWorkerDefenseHeavyDefense
146.491;8;POLightRush;POWorkerRushPOHeavyRush
176.491;8;PORangedRush;POLightRushRangedDefenseEMRDeterministico
857.048;8;POWorkerRush;POWorkerRushPORangedRushLightDefenseRangedDefense
650;8;PORangedRush;POWorkerRushPORangedRushLightDefenseRangedDefenseEMRDeterministico
440;8;POWorkerRush;POWorkerRushPOLightRushPORangedRush
734.775;8;EconomyRush;POLightRushPORangedRushWorkerDefenseHeavyDefense
450;8;POWorkerRush;PORangedRushLightDefenseWorkerDefenseHeavyDefenseEMRDeterministico
726.491;8;EconomyRush;POLightRushPOHeavyRushHeavyDefense
-320;8;PORangedRush;POWorkerRushPOLightRushWorkerDefenseHeavyDefenseEMRDeterministico
860;8;POHeavyRush;POWorkerRushPOLightRushPORangedRushRangedDefense
366.491;8;POLightRush;POWorkerRushPOLightRushPORangedRushLightDefenseEMRDeterministico
176.491;8;PORangedRush;POWorkerRushPOLightRushPORangedRushLightDefenseRangedDefense
324.641;8;PORangedRush;POWorkerRushPOLightRushPORangedRushWorkerDefenseEMRDeterministico
870;8;EconomyRush;POWorkerRushPOLightRushPORangedRushRangedDefenseHeavyDefense
220;8;PORangedRush;POHeavyRushPORangedRushLightDefenseHeavyDefense
440;8;POWorkerRush;POWorkerRushPOHeavyRushRangedDefense
290;8;POHeavyRush;POWorkerRushPOLightRushRangedDefenseHeavyDefense
260;8;POHeavyRush;LightDefenseEMRDeterministico
366.491;8;POLightRush;POLightRushPORangedRush
410;8;POWorkerRush;POLightRushPOHeavyRushLightDefenseWorkerDefenseHeavyDefense
260;8;POHeavyRush;LightDefenseRangedDefenseWorkerDefenseHeavyDefense
630;8;POWorkerRush;RangedDefenseEMRDeterministico
734.775;8;EconomyRush;POWorkerRushPOLightRushPORangedRushLightDefenseWorkerDefense
260;8;POHeavyRush;POWorkerRushPOLightRushLightDefenseHeavyDefense
246.491;8;POWorkerRush;POWorkerRushPORangedRushWorkerDefense
170;8;POWorkerRush;POWorkerRushPOLightRushPOHeavyRushWorkerDefenseEMRDeterministico
170;8;POWorkerRush;POWorkerRushLightDefenseWorkerDefenseHeavyDefenseEMRDeterministico
630;8;POWorkerRush;PORangedRushRangedDefenseWorkerDefenseHeavyDefenseEMRDeterministico
0;8;POWorkerRush;POWorkerRushPORangedRushWorkerDefenseEMRDeterministico
726.491;8;EconomyRush;POLightRushPOHeavyRushPORangedRushWorkerDefenseHeavyDefense
120;8;EconomyRush;POWorkerRushPOHeavyRushWorkerDefense
620;8;POWorkerRush;POWorkerRushPOLightRushLightDefenseHeavyDefenseEMRDeterministico
-180;8;PORangedRush;POHeavyRushRangedDefenseWorkerDefense
200;8;POLightRush;PORangedRushLightDefenseRangedDefense
170;8;POWorkerRush;POWorkerRushPOHeavyRushEMRDeterministico
260;8;POHeavyRush;POLightRushPOHeavyRushRangedDefenseHeavyDefenseEMRDeterministico
290;8;POHeavyRush;POWorkerRushPOLightRushPORangedRushWorkerDefenseHeavyDefense
290;8;POLightRush;POWorkerRushPORangedRushLightDefenseWorkerDefenseHeavyDefense
200;8;POLightRush;PORangedRushLightDefenseRangedDefenseWorkerDefenseEMRDeterministico
146.491;8;POHeavyRush;POWorkerRushLightDefense
620;8;POWorkerRush;POLightRushPORangedRushLightDefense
440;8;POWorkerRush;POWorkerRushPOHeavyRushLightDefenseRangedDefense
-320;8;PORangedRush;POWorkerRushPORangedRushWorkerDefenseHeavyDefenseEMRDeterministico
366.491;8;POLightRush;POWorkerRushPOLightRushLightDefenseRangedDefense
340;8;POLightRush;POWorkerRushPOHeavyRushLightDefenseWorkerDefense
